B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon,label,actual_date,days_diff,target_date
1957.0,1044.0,429.0,643.0,548.0,1186.0,2519.0,3132.0,-0.1740850657224655,-0.1612554490566253,1.8745210727969348,1.2773892773892774,-0.505384624004364,0.0004083187701829,0.3042319226924359,0.7021738886833191,1.831020474433899,0.000376374026345,-0.6593377483443709,2025-12-23 05:23:18,0.149304,20.40353100667954,78.64531842188322,0,,,
129.0,132.0,404.0,488.0,324.0,343.0,245.0,252.0,-0.1830477863550186,-0.1761713474988937,0.9772727272727272,,0.5818476676940918,0.0002588201135602,-0.0114942528735632,-0.125,0.964962899684906,6.056488449757764e-05,0.3189189189189189,,,25.69807,84.486742,1,2025-02-13,0.001216436261574,2025-02-12
1974.0,1269.0,469.0,578.0,517.0,1068.0,1982.0,2802.0,-0.1353696584701538,-0.17879718542099,1.5555555555555556,1.1023454157782515,-0.5470219254493713,0.0011876809035373,0.217391304347826,0.6884603500366211,1.889159202575684,0.00789761900632,-0.6579881656804734,2025-12-23 05:22:56,0.191263,21.06873402429887,80.17135113541914,0,,,
2260.0,1409.0,750.0,971.0,1094.0,1429.0,1849.0,2425.0,0.02741614356637,0.0787282362580299,1.603974449964514,1.4586666666666666,-0.3989476859569549,0.0006411971035011,0.2319433088034886,0.3782324492931366,1.522955060005188,0.0018051175107633,-0.428150765606596,2025-12-25 05:13:32,0.000325,19.75772033863124,82.74227538432571,0,,,
3552.0,2938.0,794.0,1290.0,1526.0,2054.0,2386.0,2730.0,0.1806556582450866,0.1458884477615356,1.2089857045609258,1.92191435768262,-0.4671623408794403,0.0019509241880746,0.0946070878274268,0.2828947305679321,1.6769877672195437,0.0006701159754017,-0.3582089552238806,2025-12-24 04:52:46,5.502404,21.631312992701574,87.33602553583219,0,,,
2237.0,1485.0,569.0,834.0,1020.0,1360.0,1551.0,1750.0,0.1682209521532058,0.1486895680427551,1.5063973063973064,1.7926186291739894,-0.4568544328212738,0.0003341065399031,0.2020419129500268,0.2635379135608673,1.735126495361328,0.0004019424295443,-0.3544891640866873,2025-12-25 05:13:06,0.000452,21.605687835569118,81.42612853880341,0,,,
1497.0,670.0,531.0,744.0,428.0,983.0,3218.0,3868.0,-0.3912080824375152,-0.4096157550811767,2.234328358208955,0.8060263653483992,-0.3360107243061065,7.171857458438464e-05,0.3816335948315644,0.800744891166687,1.522955060005188,0.0001533899245572,-0.6773633998265395,2025-12-16 05:32:18,0.000594,23.81004375725881,77.22597064100322,0,,,
376.0,269.0,818.0,944.0,968.0,962.0,739.0,803.0,-0.0934232696890831,-0.0491070598363876,1.3977695167286246,,0.4303030371665954,0.0349503159333327,0.165891472868217,-0.0931676998734474,1.735126495361328,0.0049362964434162,0.0807097882083571,,,26.49731998,88.31488199,1,2021-11-15,0.0007977383333333,2021-11-16
1295.0,1243.0,1354.0,1472.0,1404.0,1097.0,1008.0,1395.0,-0.0091776801273226,0.1367709338665008,1.0418342719227676,,0.0639681965112686,0.0114159982159394,0.020488573680063,-0.0032154340296983,2.043191909790039,0.0361444329665828,0.0268573421695151,,,25.550184,85.2816179999999,1,2025-02-10,0.0037905109722222,2025-02-14
1751.0,1181.0,273.0,578.0,563.0,1212.0,2017.0,2343.0,-0.0612576082348823,-0.0800579860806465,1.4826418289585097,2.062271062271062,-0.5036496520042419,0.0153753420601086,0.194406548431105,0.6125258207321167,2.1972246170043945,0.0272187549520531,-0.6042451215337213,2025-12-21 05:34:27,4.958059,17.110870535038025,76.59422318336094,0,,,
1310.0,560.0,410.0,650.0,458.0,988.0,2333.0,3010.0,-0.3184271454811096,-0.3129675686359405,2.3392857142857144,1.1170731707317074,-0.3367346823215484,0.0002519537304477,0.4010695187165775,0.7358708381652832,1.522955060005188,0.0002244433561992,-0.644808743169399,2025-12-21 05:35:39,4.489741,12.48719231559344,76.49032031566888,0,,,
1489.0,752.0,448.0,662.0,453.0,1058.0,2753.0,3176.0,-0.3021918833255768,-0.2609445452690124,1.9800531914893615,1.0111607142857142,-0.3844723403453827,0.0002465348430398,0.3288710397144132,0.750344455242157,1.6769877672195437,0.0028704681125986,-0.6550286607608129,2025-12-24 05:42:12,0.00066,24.89989350199745,76.50921111327605,0,,,
5710.0,5394.0,9208.0,9368.0,9568.0,9880.0,9864.0,9968.0,-0.1131363585591316,-0.1046314463019371,1.0585836114200964,1.0390964378801042,0.2426051199436187,0.0001460887840632,0.0284582132564841,0.0204750206321477,0.9368883371353148,2.4658562734976124e-05,-0.0310302027306578,2025-12-17 05:49:32,18.324146,34.464373536405056,75.31021783386547,0,,,
3929.0,2805.0,1006.0,1316.0,1770.0,2276.0,2684.0,3132.0,0.1586865931749344,0.1553521603345871,1.4007130124777185,1.7594433399602385,-0.4981887638568878,0.0004472115501721,0.1669141669141669,0.2778457701206207,1.889159202575684,0.0010522323840247,-0.408273381294964,2025-12-16 05:34:29,0.000355,15.953596068991242,77.22315901424506,0,,,
2202.0,1358.0,297.0,467.0,474.0,1102.0,1696.0,2045.0,0.0665603801608085,0.0365403220057487,1.6215022091310751,1.595959595959596,-0.6500561833381653,0.0024235255742755,0.2370786516853932,0.6236602067947388,2.043191909790039,0.0103393762729472,-0.6281847133757962,2025-12-25 05:13:32,0.000325,19.090855168177693,82.50670786525842,0,,,
2828.0,2166.0,922.0,1282.0,1342.0,1763.0,2737.0,3276.0,-0.003346080193296,-0.0088586714118719,1.3056325023084026,1.455531453362256,-0.3761557042598724,0.0076675827826509,0.132559070885062,0.4187960028648376,2.1972246170043945,0.0109986575652004,-0.4374725756910926,2025-12-23 05:24:20,11.530334,16.412237007778355,77.89862800607803,0,,,
3740.0,3510.0,1554.0,2160.0,2792.0,3006.0,2982.0,3172.0,0.1604192554950714,0.1697943657636642,1.0655270655270654,,-0.2677966058254242,0.0003317537649254,0.0317241379310344,0.0637156292796135,0.3488321006298065,1.520063947272702e-05,-0.1897974493623405,,,26.6115281,77.8639336,1,2024-03-14,0.0002371754513888,2024-03-14
228.0,160.0,733.0,838.0,629.0,695.0,492.0,418.0,-0.1464143395423889,-0.1055404543876648,1.425,,0.5722326636314392,6.455935866809013e-05,0.1752577319587628,-0.2015281766653061,1.2730283737182615,0.0001264013453881,0.3343949044585987,,,25.3374339999999,87.2566779999999,1,2025-02-20,0.0012094268518518,2025-02-19
2658.0,1816.0,378.0,549.0,622.0,1291.0,1980.0,2146.0,0.1302549988031387,0.1009226366877555,1.4636563876651982,1.6455026455026456,-0.6576239466667175,0.0061751181332639,0.1881984801072865,0.5505780577659607,2.043191909790039,0.0071148638907704,-0.5925788497217068,2025-12-24 05:02:43,0.006412,23.24349748159242,84.9190318933915,0,,,
736.0,575.0,796.0,999.0,838.0,981.0,849.0,600.0,0.0599326603114604,0.0927823334932327,1.28,,0.1515850126743316,0.0018671076113425,0.1228070175438596,-0.1655076444149017,1.889159202575684,0.0005973833871704,0.24953095684803,,,25.0073521,80.2360685,1,2025-06-11,0.0027761590625,2025-06-14
196.0,189.0,737.0,557.0,517.0,1004.0,1279.0,487.0,-0.2638100087642669,-0.2709004282951355,1.037037037037037,0.7014925373134329,0.4794156849384308,0.0257764931761808,0.0181818181818181,-0.029880478978157,2.1972246170043945,0.0063731471057093,0.0670498084291187,2025-12-24 05:40:12,0.009565,31.91043476669727,77.52061574109118,0,,,
123.0,123.0,492.0,664.0,434.0,509.0,154.0,93.0,-0.0245183892548084,-0.0284482203423976,1.0,,0.6874206066131592,4.515353338903813e-05,0.0,-0.6470588445663452,1.3689223527908323,0.0002254196694117,0.7542932628797886,,,25.559833,85.281874,1,2025-02-10,0.0037905109722222,2025-02-14
224.0,204.0,495.0,693.0,464.0,494.0,278.0,262.0,-0.0477508641779422,-0.044126845896244,1.0980392156862746,,0.5114504098892212,0.0001286212527597,0.0467289719626168,-0.2782369256019592,0.6837388873100281,6.527451303813454e-05,0.4513089005235602,,,25.666913,85.041133,1,2025-02-13,0.0002163803703703,2025-02-13
2256.0,1361.0,494.0,780.0,648.0,1296.0,3088.0,3460.0,-0.1531058549880981,-0.1556176543235778,1.6576047024246878,1.311740890688259,-0.4861660003662109,0.0007181607606281,0.2474426320154824,0.684518039226532,1.889159202575684,0.0026229495261577,-0.6320754716981132,2025-12-25 06:02:47,0.161045,23.201310576869652,69.90000794582225,0,,,
926.0,975.0,885.0,1090.0,987.0,1223.0,986.0,590.0,0.1292798072099685,0.0094112074002623,0.9497435897435896,,0.0813492089509964,0.041779737024734,-0.0257759074171488,-0.2517438232898712,1.735126495361328,0.0113393463282085,0.2976190476190476,,,26.36474904,88.12941603,1,2021-11-15,0.0017977383333333,2021-11-17
2628.0,1688.0,450.0,694.0,740.0,1381.0,2332.0,2796.0,0.0184457208961248,0.0044018919579684,1.556872037914692,1.6444444444444444,-0.5821794271469116,0.0003335173285675,0.2177942539388322,0.581447958946228,1.6769877672195437,0.0005568373923234,-0.6022922636103152,2025-12-23 05:25:18,4.321234,12.782803536022298,77.6749539256361,0,,,
1860.0,1289.0,1036.0,1080.0,1072.0,1487.0,1652.0,1588.0,0.0554355643689632,-0.0315215550363063,1.442979053529868,1.034749034749035,-0.2653061151504516,0.0207368587676846,0.1813274055255636,0.1939849555492401,1.735126495361328,0.0003598262675752,-0.1904047976011994,2025-12-24 05:03:11,0.95715,21.47452351289521,84.99801910118735,0,,,
207.0,156.0,822.0,966.0,920.0,880.0,581.0,489.0,-0.0754716992378234,-0.0771945863962173,1.3269230769230769,,0.6470588445663452,0.0001827160486549,0.140495867768595,-0.3058907091617584,1.214889645576477,6.883612381179837e-05,0.3278350515463917,,,26.34102196,88.10750901,1,2021-11-15,0.0017977383333333,2021-11-17
125.0,137.0,439.0,633.0,388.0,422.0,223.0,207.0,-0.1147540956735611,-0.1235404163599014,0.9124087591240876,,0.6701846718788147,2.785471201565631e-05,-0.0458015267175572,-0.3042016923427582,1.831020474433899,0.0003536175706792,0.5071428571428571,,,25.6245249999999,85.171293,1,2025-02-13,0.0002163803703703,2025-02-13
2806.0,1878.0,1858.0,1918.0,1942.0,2242.0,2547.0,2808.0,0.0087104309350252,-0.002342615975067,1.4941427050053249,1.0452099031216362,-0.1879762858152389,0.0007211837299892,0.1981212638770282,0.1823157966136932,1.522955060005188,0.0001308488189377,-0.1883199322894625,2025-12-17 05:01:49,2.331333,24.584109120124733,86.09973105561188,0,,,
1768.0,1295.0,353.0,498.0,634.0,896.0,1389.0,1755.0,0.065188467502594,0.1120885238051414,1.3652509652509652,1.7960339943342776,-0.5604589581489563,0.0016170968682582,0.1544237675481554,0.4692339897155761,2.043191909790039,0.0025340705994459,-0.5579227696404794,2025-12-19 05:43:32,0.572819,19.85600257144204,75.84953456231742,0,,,
1156.0,574.0,188.0,357.0,268.0,648.0,1448.0,1906.0,-0.1904491186141967,-0.1973060518503189,2.013937282229965,1.425531914893617,-0.5280898809432983,0.0035961845778162,0.3364161849710982,0.7534498572349548,2.043191909790039,0.0012951226897423,-0.6844896155545735,2025-12-19 05:54:11,12.609494,18.88899452111092,72.92342809298646,0,,,
102.0,94.0,546.0,734.0,479.0,507.0,242.0,233.0,-0.1455882340669632,-0.1233654841780662,1.0851063829787233,,0.7559808492660522,6.309805902709403e-05,0.0408163265306122,-0.3455056250095367,1.6769877672195437,0.0006549514223819,0.5180972078593589,,,25.68457,84.8808789999999,1,2025-02-13,0.000216436261574,2025-02-13
1921.0,1460.0,824.0,1116.0,1440.0,1260.0,1802.0,2388.0,0.0226684920489788,0.0163408685475587,1.3157534246575342,1.7475728155339805,-0.2650642096996307,0.0044335782618092,0.1363501922508133,0.2476489096879959,2.1972246170043945,0.0070934461214774,-0.363013698630137,2025-12-24 05:40:10,0.005086,31.78317906462875,78.4202378218619,0,,,
1987.0,1339.0,742.0,885.0,890.0,1245.0,1627.0,1786.0,0.0645698457956314,0.0232797320932149,1.4839432412247946,1.1994609164420484,-0.3837047219276428,0.0008926213459671,0.1948286229705352,0.334828108549118,1.889159202575684,0.0005644008115017,-0.3373268438786971,2025-12-22 05:02:09,7.618117,23.616682123751733,87.04001729348711,0,,,
