B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon
32,16,472,720,347,331,163,133,-0.2296748012304306,-0.2503650188446045,2.0,0.7351694915254238,0.914893627166748,3.946120113903125e-05,0.3333333333333333,-0.44583332538604736,1.8891592025756836,0.0005876060723347799,0.6881594372801876,2025-12-19 05:42:45,0.006409,22.154670942013972,76.53454127910409
1096,1017,2362,2645,2830,3909,3745,2806,-0.13657356798648834,-0.1269122064113617,1.0776794493608652,1.1981371718882303,0.41406041383743286,0.03430771261792071,0.03738760056791292,-0.0042583392933011055,1.2730283737182617,0.00020893079612624104,-0.029535864978902954,2025-12-24 05:40:10,0.005086,32.497398373670826,78.26534612380853
2180,1502,606,712,845,1132,1519,1770,0.12016293406486511,0.0671098455786705,1.451398135818908,1.3943894389438944,-0.5076072216033936,0.0010371896779135525,0.18413905486148832,0.3537285029888153,1.7351264953613281,0.0014900399219697953,-0.4262691377921031,2025-12-23 05:23:00,0.740147,21.29918763426292,79.74592916640049
2868,2482,1070,1290,1512,1643,1911,2342,0.12422998249530792,0.13959476351737976,1.1555197421434327,1.4130841121495328,-0.3795093894004822,0.00039109908550284526,0.07214953271028038,0.21536067128181458,1.4270610809326172,0.00015693159335885185,-0.289647577092511,2025-12-12 05:49:36,0.645612,33.48373998873241,75.84379569939327
3345,2703,900,1204,1554,2106,2446,2372,0.19911883771419525,0.15594206750392914,1.237513873473918,1.7266666666666666,-0.47065287828445435,0.002406554098209298,0.10615079365079365,0.20835456252098083,2.043191909790039,0.0038898427767413086,-0.32662192393736017,2025-12-25 05:13:03,0.000488,21.067598064852675,82.76461201931076
166,86,259,636,350,912,595,556,-0.22464312613010406,-0.20120078325271606,1.930232558139535,1.3513513513513513,0.586034893989563,0.019255421545590973,0.31746031746031744,0.22737306356430054,1.6769877672195435,0.0003597895721696134,0.06711409395973154,2025-12-25 05:14:18,0.141042,16.69545447083221,81.19371444450225
1545,1031,568,791,852,1075,1596,1722,0.022829102352261543,0.050147563219070435,1.498545101842871,1.5,-0.3227739632129669,0.0021725438934602336,0.19953416149068323,0.33799535036087036,2.043191909790039,0.005327538462198491,-0.37047353760445684,2025-12-24 05:02:39,0.004691,23.277487977089663,85.8362054573839
1471,773,1104,1136,988,1344,2025,2912,-0.24046331644058228,-0.18255840241909027,1.9029754204398448,0.894927536231884,-0.12850019335746765,0.0003605560533667704,0.31105169340463457,0.4933333396911621,1.6769877672195435,0.00224726420329883,-0.43873517786561267,2025-12-24 04:53:03,1.661924,20.59448182084164,86.5361029940367
1947,1091,256,474,380,866,2080,2788,-0.13349469006061554,-0.07635366171598434,1.7846012832263978,1.484375,-0.6084262728691101,0.002596517675150789,0.2817643186306781,0.7601010203361511,2.1972246170043945,0.013052942360770222,-0.7093807480073574,2025-12-19 05:43:39,5.253693,19.739450971229246,74.03101759085538
2258,1879,2118,2482,2662,2517,2614,2910,-0.010856453329324722,0.024576254189014435,1.2017030335284726,1.2568460812086875,0.04725738242268562,0.007160134537573139,0.09161227942953831,0.044508256018161774,1.522955060005188,0.0004594725304968256,-0.07937685459940653,2025-12-24 05:40:01,0.118485,32.81054873533475,77.11803837885664
