B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,actual_date,days_diff,lat,lon,target_date
218.0,159.0,799.0,953.0,846.0,813.0,548.0,509.0,-0.1028667762875557,-0.10288211703300476,1.371069182389937,0.6276686787605286,0.00012784021133037548,0.15649867374005305,-0.24870848655700684,0.964962899684906,5.924132012284181e-05,0.3036935704514364,2021-11-15,0.0007977383333333334,26.47715497,88.26720698,2021-11-16
236.0,183.0,719.0,915.0,730.0,670.0,419.0,456.0,-0.09761793911457062,-0.11594286561012268,1.289617486338798,0.5899218320846558,0.001533444740001894,0.12649164677804295,-0.23102866113185883,1.8891592025756836,0.0007534141405500424,0.3347921225382932,2021-11-15,0.0007977383333333334,26.45834799,88.24381904,2021-11-16
696.0,653.0,760.0,907.0,785.0,821.0,661.0,518.0,0.073577381670475,-0.05821862444281578,1.0658499234303216,0.13162820041179657,0.05052049401547635,0.03187546330615271,-0.2049117386341095,2.043191909790039,0.010532075975711477,0.2729824561403509,2021-11-15,0.0007977383333333334,26.46193603,88.246444,2021-11-16
746.0,386.0,606.0,816.0,647.0,802.0,1041.0,1803.0,-0.26722776889801025,-0.13587407767772675,1.932642487046632,0.0448143407702446,0.035966772623213794,0.31802120141342755,0.47183674573898315,2.1972246170043945,0.08902708317527071,-0.3768613974799542,2021-11-15,0.0007977383333333334,26.49205397,88.30668901,2021-11-16
587.0,409.0,722.0,861.0,711.0,817.0,845.0,679.0,-0.03816228359937668,-0.10729831457138062,1.43520782396088,0.18922652304172516,0.07387714037191856,0.178714859437751,-0.023021582514047623,2.1972246170043945,0.08243763492267306,0.11818181818181818,2021-11-15,0.0007977383333333334,26.49476401,88.30712898,2021-11-16
246.0,219.0,796.0,960.0,868.0,848.0,541.0,465.0,-0.0618947371840477,-0.07876423001289368,1.1232876712328768,0.5920398235321045,0.000281550507604194,0.05806451612903226,-0.302325576543808,1.5810937881469727,0.0004138974769253166,0.3473684210526316,2021-11-15,0.0007977383333333334,26.46885403,88.25479799,2021-11-16
268.0,207.0,837.0,1000.0,891.0,896.0,597.0,502.0,-0.07205764949321747,-0.08356817066669464,1.2946859903381642,0.5772870779037476,0.00022317648617094696,0.12842105263157894,-0.27925342321395874,1.4270610809326172,0.0005612912799140125,0.33155792276964047,2021-11-15,0.0007977383333333334,26.46991803,88.25588303,2021-11-16
207.0,179.0,792.0,947.0,823.0,885.0,572.0,489.0,-0.10861098766326904,-0.09529635310173035,1.1564245810055866,0.6412478089332581,0.0002943172327948397,0.07253886010362694,-0.25457316637039185,1.3107836246490479,0.00036887544390185045,0.318941504178273,2021-11-15,0.0007977383333333334,26.47227997,88.259186,2021-11-16
195.0,173.0,766.0,954.0,806.0,787.0,499.0,464.0,-0.10264455527067184,-0.10918669402599335,1.1271676300578035,0.6605744361877441,0.00017941368346827445,0.059782608695652176,-0.26929134130477905,1.3107836246490479,0.0002247845078322788,0.3455571227080395,2021-11-15,0.0007977383333333334,26.43763798,88.21507196,2021-11-16
203.0,150.0,783.0,916.0,798.0,750.0,500.0,468.0,-0.11101243644952774,-0.1130438819527626,1.3533333333333333,0.6371760368347168,0.00021913803728073548,0.1501416430594901,-0.2606635093688965,1.214889645576477,0.0001017693798361795,0.3236994219653179,2021-11-15,0.0007977383333333334,26.44535503,88.229618,2021-11-16
705.0,522.0,769.0,927.0,756.0,805.0,794.0,633.0,0.020607754588127136,-0.0069066984578967094,1.3505747126436782,0.1360294073820114,0.070139151236676,0.1491442542787286,-0.08855291455984116,2.1972246170043945,0.03949905520879565,0.18846153846153846,2021-11-15,0.0007977383333333334,26.44677401,88.23098601,2021-11-16
353.0,241.0,766.0,917.0,761.0,698.0,459.0,431.0,-0.03591518849134445,-0.012557371519505978,1.4647302904564314,0.4440944790840149,0.051914641399156594,0.18855218855218855,-0.27684563398361206,1.6769877672195435,0.006087798081588418,0.36053412462908013,2021-11-15,0.0007977383333333334,26.44877804,88.23448302,2021-11-16
313.0,271.0,796.0,980.0,822.0,761.0,537.0,483.0,-0.05965203046798706,-0.08435123413801193,1.154981549815498,0.5158545970916748,0.00253895605100713,0.07191780821917808,-0.25977012515068054,1.4270610809326172,0.00031833166881635303,0.3397129186602871,2021-11-15,0.0007977383333333334,26.43718603,88.21010099,2021-11-16
328.0,280.0,825.0,995.0,871.0,826.0,582.0,490.0,-0.0461416058242321,-0.05856281891465187,1.1714285714285715,0.5041572451591492,0.0033724744213719207,0.07894736842105263,-0.27994123101234436,1.7351264953613281,0.0012336803532810858,0.3400673400673401,2021-11-15,0.0007977383333333334,26.47462598,88.262882,2021-11-16
522.0,445.0,810.0,945.0,847.0,887.0,672.0,504.0,0.020499441772699356,-0.016388924792408943,1.1730337078651685,0.28834354877471924,0.053227530310554126,0.0796277145811789,-0.25388601422309875,1.7351264953613281,0.023998834436899374,0.30434782608695654,2021-11-15,0.0007977383333333334,26.43804199,88.22248802,2021-11-16
233.0,195.0,821.0,971.0,830.0,789.0,506.0,455.0,-0.09106455743312836,-0.06682641804218292,1.1948717948717948,0.6129568219184875,0.0016307714449928944,0.08878504672897196,-0.29182878136634827,1.2730283737182617,8.785415640681175e-05,0.36185133239831696,2021-11-15,0.0007977383333333334,26.44168904,88.22719697,2021-11-16
