B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon,id,dist_to_infra_km
2765.0,2235.0,1028.0,1264.0,1430.0,1732.0,1974.0,1712.0,0.2098053395748138,0.1690246015787124,1.2371364653243848,1.3910505836575875,-0.3725490272045135,0.0028226668041855,0.106,0.0897517502307891,1.214889645576477,0.0002562777274979,-0.1505376344086021,2025-12-25 05:11:18,8.207076,27.44802350627198,83.93408857170749,0,0.5084981650260293
872.0,371.0,298.0,401.0,288.0,618.0,1441.0,2062.0,-0.3409090936183929,-0.2607806622982025,2.350404312668464,0.9664429530201344,-0.3699921369552612,0.002243792512917,0.4030571198712792,0.7548936009407043,1.889159202575684,0.000976516895157,-0.6743808363784003,2025-12-25 05:11:18,8.207076,27.44802350627198,83.94307172454869,1,0.05063204326848751
1513.0,854.0,607.0,763.0,589.0,1228.0,1962.0,1920.0,-0.0918124839663505,-0.1187378466129303,1.7716627634660422,0.970345963756178,-0.3295254707336426,0.0025817331145996,0.278411491339248,0.5304902195930481,1.889159202575684,0.0024413047910523,-0.4312336936265374,2025-12-25 05:11:18,8.207076,27.439040353430784,83.85324019613674,2,0.23127114903422424
237.0,143.0,494.0,532.0,440.0,513.0,525.0,464.0,-0.1718654483556747,-0.186759814620018,1.6573426573426573,0.8906882591093117,0.3836150765419006,0.0002258577352279,0.2473684210526315,0.0265486724674701,1.522955060005188,0.0014357373753628,0.0682730923694779,2025-12-25 05:11:18,8.207076,27.439040353430784,83.86222334897793,3,0.11361095191386872
2134.0,1419.0,824.0,970.0,964.0,1268.0,1838.0,2353.0,-0.0125896418467164,0.0466412864625453,1.503875968992248,1.1699029126213591,-0.375,0.0007671640870797,0.2012383900928792,0.4187518954277038,1.889159202575684,0.0020882243667888,-0.4161901895877219,2025-12-25 05:11:18,8.207076,27.439040353430784,83.88917280750152,4,0.1788949396841064
976.0,779.0,971.0,1146.0,1148.0,1292.0,1274.0,1243.0,-0.0207468885928392,-0.0343147404491901,1.2528883183568678,1.1822863027806385,0.0801130980253219,0.015327066610538,0.1122507122507122,0.0397323295474052,1.464816331863403,0.000510757424052,-0.0406027626622017,2025-12-25 05:11:18,8.207076,27.439040353430784,83.89815596034272,5,0.23260523347748063
946.0,760.0,1024.0,1013.0,957.0,968.0,825.0,847.0,0.0084790671244263,-0.0153862033039331,1.2447368421052631,0.9345703125,0.0342011228203773,0.005099246263007,0.1090269636576787,-0.0609756112098693,2.043191909790039,0.0029806349714704,0.0892473118279569,2025-12-25 05:11:18,8.207076,27.439040353430784,83.9071391131839,6,0.3004392310978072
776.0,583.0,748.0,768.0,612.0,770.0,832.0,769.0,-0.0444061979651451,-0.0937889888882637,1.3310463121783878,0.8181818181818182,-0.0051813470199704,0.06484344310196,0.1420161883738042,0.1136857345700264,2.1972246170043945,0.040619085819921,-0.0006506180871828,2025-12-25 05:11:18,8.207076,27.439040353430784,83.9161222660251,7,0.029733345049982655
1019.0,440.0,313.0,405.0,301.0,710.0,1887.0,1997.0,-0.2727272808551788,-0.300367921590805,2.315909090909091,0.9616613418530352,-0.4311797618865967,0.0010839603648539,0.3968471555860178,0.7380330562591553,0.9950270056724548,0.000123204364233,-0.6627810158201499,2025-12-25 05:11:18,8.207076,27.439040353430784,83.9251054188663,8,0.2916294016663268
1058.0,427.0,289.0,440.0,288.0,685.0,1812.0,2481.0,-0.3459669649600982,-0.3407199382781982,2.477751756440281,0.9965397923875432,-0.4125500619411468,0.0004889876355041,0.4249158249158249,0.7919826507568359,1.214889645576477,9.350593797760908e-05,-0.6987333105100992,2025-12-25 05:11:18,8.207076,27.439040353430784,83.93408857170749,9,0.18734367022158696
1068.0,422.0,416.0,554.0,338.0,722.0,1829.0,2422.0,-0.3374175429344177,-0.3197767734527588,2.530805687203792,0.8125,-0.3168927133083343,0.0006540570692643,0.4335570469798657,0.7550724744796753,1.889159202575684,0.0003030029736478,-0.6276881720430108,2025-12-25 05:11:18,8.207076,27.439040353430784,83.94307172454869,10,0.7550747703967935
1531.0,1114.0,726.0,850.0,686.0,1150.0,1599.0,1936.0,-0.0912072136998176,-0.0474891476333141,1.374326750448833,0.9449035812672176,-0.2860142886638641,0.0010421680172091,0.1576559546313799,0.4767353236675262,2.1972246170043945,0.0017814467534456,-0.3898061737257717,2025-12-25 05:11:18,8.207076,27.43005720058959,83.84425704329554,11,0.028208651234250218
1865.0,1480.0,954.0,1180.0,1142.0,1294.0,1805.0,2012.0,0.0068642222322523,0.0345554575324058,1.260135135135135,1.1970649895178198,-0.2249589562416076,0.0030113140770183,0.1150971599402092,0.2758401930332184,2.043191909790039,0.0062757769590809,-0.2606516290726817,2025-12-25 05:11:18,8.207076,27.43005720058959,83.85324019613674,12,0.0
1075.0,1087.0,836.0,960.0,764.0,1142.0,1135.0,644.0,0.1081651076674461,-0.0319480337202549,0.9889604415823368,0.9138755980861244,-0.0565110556781291,0.0597416406291275,-0.005550416281221,-0.0852272734045982,2.1972246170043945,0.010740119415976,0.1970074812967581,2025-12-25 05:11:18,8.207076,27.43005720058959,83.86222334897793,13,0.08088666442052793
1962.0,1689.0,1310.0,1532.0,1622.0,1750.0,1833.0,1819.0,0.0677789375185966,0.0714468732476234,1.1616341030195385,1.2381679389312976,-0.1230681166052818,0.0005398370471272,0.0747740345110928,0.0572507977485656,0.9368883371353148,3.425191877901255e-05,-0.0856460757982691,2025-12-25 05:11:18,8.207076,27.43005720058959,83.87120650181913,14,0.27138358005505514
1784.0,1542.0,1144.0,1346.0,1394.0,1501.0,1531.0,1573.0,0.0782018676400184,0.0926162675023078,1.1569390402075228,1.2185314685314683,-0.1399361044168472,0.0011891866221797,0.0727600721587492,0.0603303015232086,1.310783624649048,8.672333238864936e-05,-0.0777663583418979,2025-12-25 05:11:18,8.207076,27.43005720058959,83.88018965466033,15,0.6140738228333961
1526.0,704.0,510.0,704.0,466.0,1108.0,2235.0,2676.0,-0.2305909544229507,-0.2357509434223175,2.167613636363636,0.9137254901960784,-0.3686098754405975,0.0005415792744901,0.368609865470852,0.7033736705780029,1.310783624649048,0.0001493575657209,-0.5834319526627219,2025-12-25 05:11:18,8.207076,27.43005720058959,83.88917280750152,16,0.9478741115005999
1626.0,825.0,416.0,603.0,438.0,1106.0,2088.0,2479.0,-0.1675741076469421,-0.1794796884059906,1.970909090909091,1.0528846153846154,-0.4589501917362213,0.0004443535449771,0.3268053855569155,0.6996914744377136,1.464816331863403,0.0003200413451521,-0.6086956521739131,2025-12-25 05:11:18,8.207076,27.43005720058959,83.89815596034272,17,0.6209463948442575
1513.0,806.0,452.0,620.0,470.0,1100.0,2158.0,2718.0,-0.2303512543439865,-0.2146086990833282,1.8771712158808933,1.0398230088495577,-0.4186591506004333,0.0043968309446128,0.3048727899956878,0.7051442861557007,2.043191909790039,0.0040327963163512,-0.6285200718993409,2025-12-25 05:11:18,8.207076,27.43005720058959,83.9071391131839,18,0.054827762788460514
1761.0,1092.0,556.0,734.0,706.0,1036.0,1545.0,2045.0,-0.0264404099434614,0.0155784208327531,1.612637362637363,1.2697841726618706,-0.4116232395172119,0.0022037031116243,0.2344900105152471,0.4867320954799652,2.043191909790039,0.0076202521626633,-0.4717524289312702,2025-12-25 05:11:18,8.207076,27.43005720058959,83.9161222660251,19,0.054827762788460514
1014.0,417.0,396.0,499.0,303.0,681.0,1835.0,2061.0,-0.3020667731761932,-0.3311445713043213,2.431654676258993,0.7651515151515151,-0.3403833508491516,0.0007994170498842,0.4171907756813417,0.7436548471450806,1.6769877672195437,0.0004102519071156,-0.61015625,2025-12-25 05:11:18,8.207076,27.43005720058959,83.9251054188663,20,0.7185673668271787
1150.0,476.0,386.0,484.0,358.0,775.0,1973.0,2320.0,-0.284290462732315,-0.3071407377719879,2.4159663865546217,0.927461139896373,-0.4075887501239776,0.0007343148152491,0.4145141451414514,0.7326362729072571,1.522955060005188,0.000155571239134,-0.6547788873038516,2025-12-25 05:11:18,8.207076,27.43005720058959,83.93408857170749,21,0.8833207319428439
