B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon
2765.0,2235.0,1028.0,1264.0,1430.0,1732.0,1974.0,1712.0,0.20980533957481384,0.16902460157871246,1.2371364653243848,1.3910505836575875,-0.37254902720451355,0.00282266680418555,0.106,0.08975175023078918,1.214889645576477,0.0002562777274979631,-0.15053763440860216,2025-12-25 05:11:18,8.207076,27.44802350627198,83.93408857170749
872.0,371.0,298.0,401.0,288.0,618.0,1441.0,2062.0,-0.34090909361839294,-0.2607806622982025,2.3504043126684637,0.9664429530201343,-0.36999213695526123,0.0022437925129170644,0.4030571198712792,0.7548936009407043,1.8891592025756836,0.0009765168951570363,-0.6743808363784003,2025-12-25 05:11:18,8.207076,27.44802350627198,83.94307172454869
1513.0,854.0,607.0,763.0,589.0,1228.0,1962.0,1920.0,-0.09181248396635056,-0.1187378466129303,1.7716627634660422,0.9703459637561779,-0.3295254707336426,0.0025817331145996133,0.278411491339248,0.5304902195930481,1.8891592025756836,0.002441304791052337,-0.43123369362653746,2025-12-25 05:11:18,8.207076,27.439040353430784,83.85324019613674
237.0,143.0,494.0,532.0,440.0,513.0,525.0,464.0,-0.17186544835567474,-0.186759814620018,1.6573426573426573,0.8906882591093117,0.38361507654190063,0.00022585773522797325,0.24736842105263157,0.02654867246747017,1.522955060005188,0.0014357373753628058,0.06827309236947791,2025-12-25 05:11:18,8.207076,27.439040353430784,83.86222334897793
2134.0,1419.0,824.0,970.0,964.0,1268.0,1838.0,2353.0,-0.012589641846716404,0.046641286462545395,1.503875968992248,1.1699029126213591,-0.375,0.0007671640870797623,0.20123839009287925,0.41875189542770386,1.8891592025756836,0.002088224366788818,-0.4161901895877219,2025-12-25 05:11:18,8.207076,27.439040353430784,83.88917280750152
976.0,779.0,971.0,1146.0,1148.0,1292.0,1274.0,1243.0,-0.02074688859283924,-0.03431474044919014,1.2528883183568678,1.1822863027806385,0.08011309802532196,0.01532706661053805,0.11225071225071225,0.03973232954740524,1.4648163318634033,0.0005107574240520703,-0.04060276266220176,2025-12-25 05:11:18,8.207076,27.439040353430784,83.89815596034272
946.0,760.0,1024.0,1013.0,957.0,968.0,825.0,847.0,0.008479067124426365,-0.015386203303933144,1.2447368421052631,0.9345703125,0.03420112282037735,0.005099246263007013,0.10902696365767878,-0.060975611209869385,2.043191909790039,0.002980634971470455,0.08924731182795699,2025-12-25 05:11:18,8.207076,27.439040353430784,83.9071391131839
776.0,583.0,748.0,768.0,612.0,770.0,832.0,769.0,-0.04440619796514511,-0.0937889888882637,1.3310463121783878,0.8181818181818182,-0.005181347019970417,0.06484344310196,0.14201618837380428,0.1136857345700264,2.1972246170043945,0.04061908581992104,-0.0006506180871828237,2025-12-25 05:11:18,8.207076,27.439040353430784,83.9161222660251
1019.0,440.0,313.0,405.0,301.0,710.0,1887.0,1997.0,-0.27272728085517883,-0.30036792159080505,2.315909090909091,0.9616613418530351,-0.4311797618865967,0.0010839603648539814,0.3968471555860178,0.7380330562591553,0.9950270056724548,0.00012320436423301432,-0.6627810158201499,2025-12-25 05:11:18,8.207076,27.439040353430784,83.9251054188663
1058.0,427.0,289.0,440.0,288.0,685.0,1812.0,2481.0,-0.34596696496009827,-0.34071993827819824,2.477751756440281,0.9965397923875432,-0.41255006194114685,0.0004889876355041641,0.4249158249158249,0.7919826507568359,1.214889645576477,9.350593797760907e-05,-0.6987333105100992,2025-12-25 05:11:18,8.207076,27.439040353430784,83.93408857170749
1068.0,422.0,416.0,554.0,338.0,722.0,1829.0,2422.0,-0.3374175429344177,-0.3197767734527588,2.5308056872037916,0.8125,-0.31689271330833435,0.000654057069264333,0.43355704697986575,0.7550724744796753,1.8891592025756836,0.00030300297364781333,-0.6276881720430108,2025-12-25 05:11:18,8.207076,27.439040353430784,83.94307172454869
1531.0,1114.0,726.0,850.0,686.0,1150.0,1599.0,1936.0,-0.09120721369981766,-0.04748914763331413,1.374326750448833,0.9449035812672176,-0.28601428866386414,0.00104216801720917,0.15765595463137996,0.47673532366752625,2.1972246170043945,0.0017814467534456035,-0.3898061737257717,2025-12-25 05:11:18,8.207076,27.43005720058959,83.84425704329554
1865.0,1480.0,954.0,1180.0,1142.0,1294.0,1805.0,2012.0,0.006864222232252359,0.03455545753240585,1.260135135135135,1.1970649895178198,-0.22495895624160767,0.0030113140770183667,0.11509715994020926,0.2758401930332184,2.043191909790039,0.006275776959080955,-0.2606516290726817,2025-12-25 05:11:18,8.207076,27.43005720058959,83.85324019613674
1075.0,1087.0,836.0,960.0,764.0,1142.0,1135.0,644.0,0.10816510766744614,-0.0319480337202549,0.9889604415823368,0.9138755980861244,-0.056511055678129196,0.05974164062912754,-0.005550416281221091,-0.08522727340459824,2.1972246170043945,0.010740119415976072,0.1970074812967581,2025-12-25 05:11:18,8.207076,27.43005720058959,83.86222334897793
1962.0,1689.0,1310.0,1532.0,1622.0,1750.0,1833.0,1819.0,0.06777893751859665,0.07144687324762344,1.1616341030195383,1.2381679389312976,-0.12306811660528183,0.0005398370471272526,0.07477403451109285,0.057250797748565674,0.9368883371353149,3.425191877901255e-05,-0.08564607579826918,2025-12-25 05:11:18,8.207076,27.43005720058959,83.87120650181913
