lat,long
21.273833,73.504573
25.746567,80.453335
24.956509,81.48905
25.0073521,80.2360685
24.94908,81.506613
26.658876,77.908561
25.703884,80.315708
25.490301,80.309159
30.503505,77.784876
25.394092,87.558856
25.410408,87.372579
25.372184,87.337609
25.3374339999999,87.2566779999999
25.261258,87.2239799999999
25.26076,87.04979
25.30142,87.02491
25.251505,86.724725
26.351984,86.508526
25.3422799999999,86.1768
25.304109,86.104121
25.370194,86.007637
25.373483,85.9972649999999
25.3746739999999,85.995631
25.3875819999999,85.97906
25.4260979999999,85.930436
25.4951809999999,85.9035769999999
25.5309719999999,85.790941
25.508312,85.5460419999999
25.488208,85.4511949999999
25.509025,85.4261929999999
25.5089959999999,85.3287519999999
25.5101629999999,85.3183209999999
25.526976,85.292753
25.549678,85.2816289999999
25.550184,85.2816179999999
25.559833,85.281874
25.564159,85.2813239999999
25.5879289999999,85.256596
25.595641,85.244999
25.599205,85.239029
25.6148549999999,85.205431
25.6159339999999,85.2040719999999
25.6245249999999,85.171293
25.658809,85.1071029999999
25.656583,85.0913099999999
25.653835,85.081181
25.653776,85.080955
25.6539999999999,85.0625189999999
25.6558939999999,85.0559109999999
25.658709,85.0502019999999
25.6643979999999,85.0441749999999
25.666174,85.0420569999999
25.666913,85.041133
25.6706959999999,85.035988
25.6730039999999,85.0323929999999
25.673344,85.0202749999999
25.666294,84.976207
25.6657809999999,84.972339
25.6655459999999,84.9683009999999
25.6651699999999,84.9668879999999
25.6633339999999,84.960875
25.6622869999999,84.957175
25.661992,84.9558099999999
25.6603619999999,84.9496599999999
25.6603029999999,84.9443579999999
25.660128,84.9405749999999
25.6596119999999,84.9363599999999
25.6602239999999,84.932079
25.6606689999999,84.9270439999999
25.662593,84.917929
25.665634,84.909665
25.667653,84.905629
25.6723579999999,84.896293
25.679818,84.886015
25.68457,84.8808789999999
25.685997,84.879704
25.691447,84.876033
25.694606,84.875562
25.698328,84.873416
25.709502,84.8661859999999
25.71199,84.865165
25.7197579999999,84.858699
25.721508,84.856296
25.72237,84.854112
25.723759,84.8490079999999
25.7241649999999,84.846096
25.72472,84.8434189999999
25.725356,84.841262
25.726393,84.8381219999999
25.7281289999999,84.83243
25.726931,84.827539
25.725694,84.813702
25.7256399999999,84.813207
25.7239119999999,84.802277
25.7218389999999,84.792866
25.7401909999999,84.7274879999999
25.69807,84.486742
25.6965509999999,84.4285959999999
25.72098,84.1843889999999
25.6003019999999,84.0008499999999
25.596401,83.9942089999999
25.519921,83.8759529999999
22.606,77.375
18.564444,73.793889
22.70923381395292,77.83666893492025
26.1458500195294,84.8977860063314
27.43881,83.906
27.4106829799711,83.8614429719746
27.4346869904547,83.8886929582804
22.6395890302956,87.8013630118221
22.6485900208354,87.7988750115036
25.70309099,86.54292704
12.095812,76.02274
16.008992,73.605536
16.150592,73.458183
16.157017,73.470469
22.561081,77.320219
29.45335,77.13004
16.104036,73.4656
26.6922078,78.0010645
26.708826,78.091674
26.65962,77.950204
26.6115281,77.8639336
26.6922078,78.0010645
23.598731,87.570317
23.61615250523469,87.5259840615229
22.09227,75.01138
23.61702334810349,87.70157999207548
23.208027,87.858181
23.23804207182051,87.78865952968788
22.219909,86.910117
22.15844199745963,87.055371561596
22.22723,86.896543
22.469,87.085
22.434972,87.518083
29.455556,77.137222
21.907764,73.346706
16.127786,73.462497
22.581877,73.151901
21.929645,84.013167
25.709157,76.474932
25.536358,76.518743
25.526994,76.518179
22.576946,77.167978
25.435959,76.581781
26.660322,77.949228
23.015669,78.554122
23.006909,79.924278
