id,dist_to_infra_km
99,0.22859183299576938
418,0.07619822786328034
377,0.6528156987135162
219,0.5154497101578215
450,0.2151598208417145
505,1.4843841638543203
77,0.6455334531830762
459,0.6997882534091117
315,0.2964172735099883
368,0.30186702832423856
496,0.5697061749116133
382,0.16100872850155212
363,0.12883975409677625
254,1.2900121581221735
182,0.6678521519671903
521,0.34792306474905477
563,1.0848999711507759
468,0.35469534414078707
375,0.1867284748382787
440,437.7007491046682
147,0.8127681924924709
331,0.46501277393310336
160,0.16261936064786242
540,0.592089224664137
473,0.28014491472859365
617,0.15785999981317506
555,0.48748238193074334
241,0.2562990358356107
299,0.4505090725712348
398,0.28194534567535967
94,0.6997378736333163
486,0.5807745440087986
545,0.3400788222554878
361,0.5864092667845353
504,0.489275120000136
248,0.5698843253030165
532,0.3712787607271849
325,0.3820336048264273
598,0.4619751733491916
148,0.3357900249969483
217,0.7312166609925613
253,0.5798786575718443
279,0.6716356805562375
581,0.2728395837787518
189,0.17296203690676606
502,0.2483132313761489
604,0.05761630666699587
98,0.35451922064623964
465,0.8036939171620097
275,0.5792019675421621
39,0.6911851370595411
492,0.15815149133288448
365,0.5792019675421621
402,0.6200411377395203
550,0.4593782532619577
11,0.9784975830812386
483,0.9379561955486335
10,0.6190951885191078
169,0.16382081053726932
14,0.01955256259055119
341,0.425614832945175
84,0.10187919579975198
434,0.08625865527966883
517,0.23938393306946104
526,0.09581918186246932
204,0.14435399791333114
340,0.11542397339388905
343,0.5003803439859134
413,0.265597742311235
501,0.4466026269885853
491,0.16576080991267286
263,2.9641870303701667
326,0.4766332773149671
455,1.1702189514142054
107,0.4971974430684442
549,0.6578220275913813
179,0.6298229523700231
322,0.18692201393745358
597,0.2255269803402448
357,0.2787840159235907
210,0.08044669828307707
366,0.9780052480108267
595,0.2668495441240602
68,0.26823527224765015
42,0.6247111875423523
565,0.03800441194319994
251,0.5721801694007695
246,0.454217640363967
82,1.3773353567880966
202,0.5163454607989647
499,0.9211909864512255
403,0.0
415,2.928667744632936
551,0.14223164815131634
589,1.1834084910288158
112,11.476423469214495
134,0.7325427129484979
164,0.2121387382918491
21,0.48658575731185344
