latitude,longitude,siteid
21.273833,73.504573,1
25.746567,80.453335,2
24.956509,81.48905,3
25.0073521,80.2360685,4
24.94908,81.506613,5
26.658876,77.908561,6
25.703884,80.315708,7
25.490301,80.309159,8
30.503505,77.784876,9
25.394092,87.558856,10
25.410408,87.372579,11
25.372184,87.337609,12
25.3374339999999,87.2566779999999,13
25.261258,87.2239799999999,14
25.26076,87.04979,15
25.30142,87.02491,16
25.251505,86.724725,17
26.351984,86.508526,18
25.3422799999999,86.1768,19
25.304109,86.104121,20
25.370194,86.007637,21
25.373483,85.9972649999999,22
25.3746739999999,85.995631,23
25.3875819999999,85.97906,24
25.4260979999999,85.930436,25
25.4951809999999,85.9035769999999,26
25.5309719999999,85.790941,27
25.508312,85.5460419999999,28
25.488208,85.4511949999999,29
25.509025,85.4261929999999,30
25.5089959999999,85.3287519999999,31
25.5101629999999,85.3183209999999,32
25.526976,85.292753,33
25.549678,85.2816289999999,34
25.550184,85.2816179999999,35
25.559833,85.281874,36
25.564159,85.2813239999999,37
25.5879289999999,85.256596,38
25.595641,85.244999,39
25.599205,85.239029,40
25.6148549999999,85.205431,41
25.6159339999999,85.2040719999999,42
25.6245249999999,85.171293,43
25.658809,85.1071029999999,44
25.656583,85.0913099999999,45
25.653835,85.081181,46
25.653776,85.080955,47
25.6539999999999,85.0625189999999,48
25.6558939999999,85.0559109999999,49
25.658709,85.0502019999999,50
25.6643979999999,85.0441749999999,51
25.666174,85.0420569999999,52
25.666913,85.041133,53
25.6706959999999,85.035988,54
25.6730039999999,85.0323929999999,55
25.673344,85.0202749999999,56
25.666294,84.976207,57
25.6657809999999,84.972339,58
25.6655459999999,84.9683009999999,59
25.6651699999999,84.9668879999999,60
25.6633339999999,84.960875,61
25.6622869999999,84.957175,62
25.661992,84.9558099999999,63
25.6603619999999,84.9496599999999,64
25.6603029999999,84.9443579999999,65
25.660128,84.9405749999999,66
25.6596119999999,84.9363599999999,67
25.6602239999999,84.932079,68
25.6606689999999,84.9270439999999,69
25.662593,84.917929,70
25.665634,84.909665,71
25.667653,84.905629,72
25.6723579999999,84.896293,73
25.679818,84.886015,74
25.68457,84.8808789999999,75
25.685997,84.879704,76
25.691447,84.876033,77
25.694606,84.875562,78
25.698328,84.873416,79
25.709502,84.8661859999999,80
25.71199,84.865165,81
25.7197579999999,84.858699,82
25.721508,84.856296,83
25.72237,84.854112,84
25.723759,84.8490079999999,85
25.7241649999999,84.846096,86
25.72472,84.8434189999999,87
25.725356,84.841262,88
25.726393,84.8381219999999,89
25.7281289999999,84.83243,90
25.726931,84.827539,91
25.725694,84.813702,92
25.7256399999999,84.813207,93
25.7239119999999,84.802277,94
25.7218389999999,84.792866,95
25.7401909999999,84.7274879999999,96
25.69807,84.486742,97
25.6965509999999,84.4285959999999,98
25.72098,84.1843889999999,99
25.6003019999999,84.0008499999999,100
25.596401,83.9942089999999,101
25.519921,83.8759529999999,102
22.606,77.375,103
